COURSE CODE,COURSE TITLE,SLOT
CHY1005,Industrial Chemistry for Engineers,A1+TA1
CHY1006,Corrosion Science and Engineering,E1+TE1
CHY1007,Energy Materials and Their Applications,D2+TD2
CHY2002,Organic Electronics,C2+TC2
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,C1+TC1
CSE1005,Software Engineering,C1+TC1
CSE1005,Software Engineering,C1+TC1
CSE1005,Software Engineering,C1+TC1
CSE1005,Software Engineering,C1+TC1
CSE1005,Software Engineering,C1+TC1
CSE1005,Software Engineering,C1+TC1
CSE1005,Software Engineering,C1+TC1
CSE1005,Software Engineering,C1+TC1
CSE1005,Software Engineering,C1+TC1
CSE1005,Software Engineering,C2+TC2
CSE1005,Software Engineering,C2+TC2
CSE1005,Software Engineering,C2+TC2
CSE1005,Software Engineering,C2+TC2
CSE1005,Software Engineering,C2+TC2
CSE1005,Software Engineering,C2+TC2
CSE1005,Software Engineering,C2+TC2
CSE1005,Software Engineering,C2+TC2
CSE1005,Software Engineering,C2+TC2
CSE1006,Foundations for Data Analytics,E1
CSE1006,Foundations for Data Analytics,E1
CSE1006,Foundations for Data Analytics,E1
CSE1006,Foundations for Data Analytics,E2
CSE1006,Foundations for Data Analytics,E2
CSE1006,Foundations for Data Analytics,E2
CSE1006,Foundations for Data Analytics,G1
CSE1006,Foundations for Data Analytics,G1
CSE1006,Foundations for Data Analytics,G1
CSE1006,Foundations for Data Analytics,G2
CSE1006,Foundations for Data Analytics,G2
CSE1006,Foundations for Data Analytics,G2
CSE1007,Introduction to Cryptography,E1+TE1
CSE1007,Introduction to Cryptography,E2+TE2
CSE1007,Introduction to Cryptography,G1+TG1
CSE1007,Introduction to Cryptography,G1+TG1
CSE1007,Introduction to Cryptography,G2+TG2
CSE1007,Introduction to Cryptography,G2+TG2
CSE1021,Foundations of Blockchain Technology,E1+TE1
CSE1021,Foundations of Blockchain Technology,E2+TE2
CSE1021,Foundations of Blockchain Technology,F1+TF1
CSE1022,Introduction to Programming,F1
CSE1022,Introduction to Programming,F1
CSE1022,Introduction to Programming,F1
CSE1022,Introduction to Programming,F1
CSE1022,Introduction to Programming,F1
CSE1022,Introduction to Programming,F1
CSE1022,Introduction to Programming,F1
CSE1022,Introduction to Programming,F1
CSE1022,Introduction to Programming,F1
CSE1022,Introduction to Programming,F1
CSE1022,Introduction to Programming,F1
CSE1022,Introduction to Programming,F1
CSE1022,Introduction to Programming,F2
CSE1022,Introduction to Programming,F2
CSE1022,Introduction to Programming,F2
CSE1022,Introduction to Programming,F2
CSE1022,Introduction to Programming,F2
CSE1022,Introduction to Programming,F2
CSE1022,Introduction to Programming,F2
CSE1022,Introduction to Programming,F2
CSE1022,Introduction to Programming,F2
CSE1022,Introduction to Programming,F2
CSE1022,Introduction to Programming,F2
CSE1022,Introduction to Programming,F2
CSE1022,Introduction to Programming,G1
CSE1022,Introduction to Programming,G1
CSE1022,Introduction to Programming,G1
CSE1022,Introduction to Programming,G1
CSE1022,Introduction to Programming,G1
CSE1022,Introduction to Programming,G1
CSE1022,Introduction to Programming,G1
CSE1022,Introduction to Programming,G1
CSE1022,Introduction to Programming,G1
CSE1022,Introduction to Programming,G1
CSE1022,Introduction to Programming,G1
CSE1022,Introduction to Programming,G2
CSE1022,Introduction to Programming,G2
CSE1022,Introduction to Programming,G2
CSE1022,Introduction to Programming,G2
CSE1022,Introduction to Programming,G2
CSE1022,Introduction to Programming,G2
CSE1022,Introduction to Programming,G2
CSE1022,Introduction to Programming,G2
CSE1022,Introduction to Programming,G2
CSE1022,Introduction to Programming,G2
CSE1022,Introduction to Programming,G2
